key,title,doi,arxiv,metadata_status,notes
jacobson95,Thermodynamics of spacetime: The Einstein equation of state,10.1103/PhysRevLett.75.1260,gr-qc/9504004,complete,Central prior-art comparison for the OPH Jacobson-type branch
jacobson16,Entanglement equilibrium and the Einstein equation,10.1103/PhysRevLett.116.201101,1505.04753,complete,Small-ball comparison target for the OPH reduction proposition
gibbonsHawking77,Cosmological event horizons thermodynamics and particle creation,10.1103/PhysRevD.15.2738,,complete,Imported de Sitter entropy relation
planck18,Planck 2018 results VI Cosmological parameters,10.1051/0004-6361/201833910,1807.06209,complete,Observed late-time branch benchmark
bw75,On the duality condition for a Hermitian scalar field,,,"pending DOI",Foundational modular reference
bw76,On the duality condition for quantum fields,,,"pending DOI",Foundational modular reference
dr89,A new duality theory for compact groups,,,"pending DOI",Foundational compact-gauge reconstruction reference
dr90,Why there is a field algebra with a compact gauge group describing the superselection structure in particle physics,,,"pending DOI",Foundational compact-gauge reconstruction reference
hjpw04,Structure of states which satisfy strong subadditivity of quantum entropy with equality,,,"pending DOI",Markov structure theorem reference
fawziRenner15,Quantum conditional mutual information and approximate Markov chains,,1410.0664,"pending DOI",Approximate recovery reference
